71;"BISCOTTI SAVOIARDO";11,90;69,80;9,20;261,00;1,80;392,00
72;"BISCOTTI WAFERS";7,10;77,60;15,00;24,00;1,60;454,00
73;"BISCOTTO PER LA PRIMA COLAZIONE";6,60;85,40;7,90;128,00;5,70;418,00
74;"BOVINO, CERVELLO";9,80;0,80;12,70;2000,00;0,00;157,00
75;"BOVINO, CUORE";16,80;0,50;6,00;150,00;0,00;123,00
76;"BOVINO, FEGATO";21,00;5,90;4,40;300,00;0,00;146,00
77;"BOVINO, LESSATO IN GELATINA, IN SCATOLA";13,90;0,00;3,50;65,00;0,00;87,00
78;"BOVINO, LINGUA";17,10;0,40;18,00;78,00;0,00;231,00
79;"BOVINO, LINGUA SALMISTRATA";22,50;0,20;18,80;87,00;0,00;260,00
80;"BOVINO, MIDOLLO OSSEO";3,20;0,00;89,90;300,00;0,00;822,00
81;"BOVINO, MILZA";18,50;0,00;3,70;324,00;0,00;107,00
82;"BOVINO, POLMONE";14,00;0,00;2,10;168,00;0,00;75,00
83;"BOVINO, RENE";18,40;0,80;4,60;375,00;0,00;118,00
84;"BOVINO, SANGUE";17,80;0,80;0,10;190,00;0,00;75,00
85;"BOVINO, TRIPPA";15,80;0,00;5,00;64,00;0,00;108,00
86;"BRA";30,70;-2,00;22,80;90,00;0,00;328,00
87;"BRANDY";-2,00;-2,00;0,00;0,00;0,00;224,00
88;"BRESAOLA";34,00;0,00;4,30;65,00;0,00;175,00
89;"BRIE";19,30;-2,00;26,90;100,00;0,00;319,00
90;"BRIOCHES";7,20;58,40;18,30;52,00;2,50;413,00
91;"BRIOCHES CON CREMA";6,90;55,60;17,10;54,00;2,30;391,00
92;"BRIOCHES CON MARMELLATA";6,50;58,40;16,50;47,00;2,50;394,00
93;"BROCCOLETTI DI RAPE";2,90;2,00;0,30;0,00;2,90;22,00
94;"BROCCOLO A TESTA";3,00;3,10;0,40;0,00;3,10;27,00
95;"BRODO DI CARNE E VERDURA";0,70;0,10;0,20;0,00;0,00;5,00
96;"BRODO DI CARNE VARIA";1,10;-2,00;0,20;0,00;-2,00;7,00
97;"BRODO DI DADO";0,30;0,10;0,40;0,00;-2,00;3,00
98;"BRODO DI GALLINA";0,60;0,60;0,50;-2,00;-2,00;9,00
99;"BRODO VEGETALE";0,30;0,30;0,40;0,00;-2,00;5,00
100;"BUCCIA D'ARANCIA CANDITA";0,20;82,70;0,20;0,00;1,10;313,00
101;"BUDINO AL CIOCCOLATO";2,70;21,80;4,00;3,00;1,00;133,00
102;"BUDINO ALLA VANIGLIA";2,30;21,80;3,60;7,00;0,10;130,00
103;"BURRATA";15,20;5,70;34,90;106,00;0,00;396,00
104;"BURRINI";22,10;1,60;47,00;176,00;0,00;517,00
105;"BURRO";0,80;1,10;83,40;250,00;0,00;758,00
106;"BURRO DI ARACHIDI";22,60;13,10;53,70;0,00;6,80;623,00
107;"CACAO AMARO, IN POLVERE";20,40;11,50;25,60;0,00;28,90;355,00
108;"CACAO DOLCE, IN POLVERE, SOLUBILE";4,50;67,70;8,60;0,00;7,30;349,00
109;"CACIOCAVALLO";37,70;2,10;31,10;90,00;0,00;439,00
110;"CACIOCAVALLO AFFUMICATO";37,70;2,10;31,10;90,00;0,00;439,00
111;"CACIOTTA AFFUMICATA";27,70;2,10;27,30;104,00;0,00;364,00
112;"CACIOTTA ROMANA DI PECORA";27,70;2,10;27,30;104,00;0,00;364,00
113;"CACIOTTA TOSCANA";24,60;2,10;29,60;90,00;0,00;373,00
114;"CACIOTTINA FRESCA";17,30;-2,00;21,30;90,00;0,00;261,00
115;"CAFFE' ALL'AMERICANA, in tazza";0,10;0,40;0,00;0,00;0,00;2,00
116;"CAFFE' BAR, in tazza";0,40;0,60;-2,00;0,00;0,00;4,00
